Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
1,2008-07-05,197.5,Brest,Plumelec,Flat stage,Alejandro Valverde,ESP
2,2008-07-06,164.5,Auray,Saint-Brieuc,Flat stage,Thor Hushovd,NOR
3,2008-07-07,208,Saint-Malo,Nantes,Flat stage,Samuel Dumoulin,FRA
4,2008-07-08,29.5,Cholet,Cholet,Individual time trial,Kim Kirchen,LUX
5,2008-07-09,232,Cholet,Châteauroux,Flat stage,Mark Cavendish,GBR
6,2008-07-10,195.5,Aigurande,Super-Besse Sancy,Transition stage,Alejandro Valverde,ESP
7,2008-07-11,159,Brioude,Aurillac,Transition stage,Luis León Sánchez,ESP
8,2008-07-12,172.5,Figeac,Toulouse,Flat stage,Mark Cavendish,GBR
9,2008-07-13,224,Toulouse,Bagnères-de-Bigorre,Mountain stage,Vladimir Efimkin,RUS
10,2008-07-14,156,Pau,Hautacam,Mountain stage,Juan José Cobo,ESP
11,2008-07-16,167.5,Lannemezan,Foix,Transition stage,Kurt Asle Arvesen,NOR
12,2008-07-17,168.5,Lavelanet,Narbonne,Flat stage,Mark Cavendish,GBR
13,2008-07-18,182,Narbonne,Nîmes,Flat stage,Mark Cavendish,GBR
14,2008-07-19,194.5,Nîmes,Digne-les-Bains,Flat stage,Óscar Freire,ESP
15,2008-07-20,183,Embrun,Prato Nevoso,Mountain stage,Simon Gerrans,AUS
16,2008-07-22,157,Cuneo,Jausiers,Mountain stage,Cyril Dessel,FRA
17,2008-07-23,210.5,Embrun,Alpe d'Huez,Mountain stage,Carlos Sastre,ESP
18,2008-07-24,196.5,Bourg-d'Oisans,Saint-Étienne,Transition stage,Marcus Burghardt,GER
19,2008-07-25,165.5,Roanne,Montluçon,Flat stage,Sylvain Chavanel,FRA
20,2008-07-26,53,Cérilly,Saint-Amand-Montrond,Individual time trial,Fabian Cancellara,SUI
21,2008-07-27,143,Étampes,Paris,Flat stage,Gert Steegmans,BEL
P,2007-07-07,7.9,London,London,Individual time trial,Fabian Cancellara,SUI
1,2007-07-08,203,London,Canterbury,Plain stage,Robbie McEwen,AUS
2,2007-07-09,168.5,Dunkirk,Ghent,Plain stage,Gert Steegmans,BEL
3,2007-07-10,236.5,Waregem - Compiègne,Waregem - Compiègne,Plain stage,Fabian Cancellara,SUI
4,2007-07-11,193,Villers-Cotterêts,Joigny,Plain stage,Thor Hushovd,NOR
5,2007-07-12,182.5,Chablis,Autun,Intermediate stage,Filippo Pozzato,ITA
6,2007-07-13,199.5,Semur-en-Auxois,Bourg-en-Bresse,Plain stage,Tom Boonen,BEL
7,2007-07-14,197.5,Bourg-en-Bresse,Le Grand-Bornand,Mountain stage,Linus Gerdemann,GER
8,2007-07-15,165,Le Grand-Bornand,Tignes,Mountain stage,Michael Rasmussen,DEN
9,2007-07-17,159.5,Val-d'Isère,Briançon,Mountain stage,Mauricio Soler,COL
10,2007-07-18,229.5,Tallard,Marseille,Plain stage,Cédric Vasseur,FRA
11,2007-07-19,182.5,Marseille,Montpellier,Plain stage,Robert Hunter,RSA
12,2007-07-20,178.5,Montpellier,Castres,Intermediate stage,Tom Boonen,BEL
13,2007-07-21,54,Albi,Albi,Individual time trial,Cadel Evans[n 1],AUS
14,2007-07-22,197,Mazamet,Plateau-de-Beille,Mountain stage,Alberto Contador,ESP
15,2007-07-23,196,Foix,Loudenvielle,Mountain stage,Kim Kirchen[n 1],LUX
16,2007-07-25,218.5,Orthez,Gourette–Col d'Aubisque,Mountain stage,Michael Rasmussen,DEN
17,2007-07-26,188.5,Pau,Castelsarrasin,Intermediate stage,Daniele Bennati,ITA
18,2007-07-27,211,Cahors,Angoulême,Plain stage,Sandy Casar,FRA
19,2007-07-28,55.5,Cognac,Angoulême,Individual time trial,Levi Leipheimer,USA
20,2007-07-29,146,Marcoussis,Paris,Plain stage,Daniele Bennati,ITA
P,2006-07-01,7.1,Strasbourg,Strasbourg,Individual time trial,Thor Hushovd,NOR
1,2006-07-02,184.5,Strasbourg,Strasbourg,Flat stage,Jimmy Casper,FRA
